ORGANISM,frequency
HR1 peptides,1
MERS-CoV S proteins,1
Human Diploid-Cell-Strain,1
antirabies IgG antibody,1
human diploid-cell,1
rabies-virus antigen,1
countries patients,1
mumps virus envelope glycoprotein,1
human T-cell lymphotropic virus type 1,1
HCV like pathogens,1
HCV like virus,1
IBS,1
Gambia,1
A. Greenfield,1
non-rotavirus,1
ST+,1
ST+ isolates,1
Cuzner R.E.,1
Enteroviral,1
human respiratory coronaviruses,3
HIV-1 gp41,3
SARS-CoV S2 proteins,1
coronavirus disease (,2
bovine coronavirus Abstract A,2
BCV antibodies,2
Virus-based,3
coronavirus cDNA clones,1
coronavirus 2â,1
Singapore face,1
RV-specific T,1
herpes encephalitis,2
reoviridae,2
HUMAN CD161/MAIT,1
"233,982 melanoma patients",1
Stohr K,1
SEIMC,5
Americana,3
sincitial,11
coronavirus de 2019 (SARS-CoV-2),1
coronavirus causante,3
coronavirus SARS-CoV-2 (Covid-19),1
coronavirus SARS-CoV-2 (Covid-19) estÃ¡ evolucionando,1
infectologÃ­a espaÃ±ola,1
sÃ­ntomas neurolÃ³gicos,1
CoV es baja,1
clÃ­nica neurolÃ³gica,1
DE SENOLOGIA Y,1
Jinchai capsule,1
Jinchai,5
Madin-darby canine kidney (MDCK) cells,1
influenza virus A (subtype H1N1,1
influenza virus protein acid,1
Huoxiang Zhengqi Wan,1
Qi,2
Selaginella doederleinii,1
Jackson,4
CCWHS patients,1
John Troyer,1
coronavirus H120,1
QX-like nephropathogenic strain,1
magnetic fluids,1
Hepatitis B vaccine,1
coronavirus emergente,1
Haas W. Henle P.H.,1
Korrowski O. MaalÃ¸e,1
Schweiger M.,1
Coronavirus Infectious Disease-19,1
Ao â©Bo,1
C. bovis/ryanae,2
C. parvum IIa,1
Los virus,2
ser lÃ­ticas o persistentes,1
coronavirus son los asociados con mÃ¡s,1
Ã³rganos sÃ³lidos,1
zona geogrÃ¡fica,2
NeumonÃ­as vÃ­ricas,1
trasplantado,1
H1N1 o H3N2,1
virus sincitial,2
E. Cole,1
rat pharyngeal mucosa,1
people×³s,1
M. Cisneros-Montemayor,1
Mycoplasma pneumoniae reste,1
Mycoplasma pneumoniae (6/118),1
Escherichia coli entÃ©rotoxinogÃ¨nes,1
Coronavirus formellement impliquÃ©,1
Concours MÃ©dical,1
tats septicÃ©miques,1
Mycoplasma pneumoniÃ¦,1
Chlamydia pneumoniÃ¦,1
avian infectious bronchitis coronaviruses,1
MERS CoV. Patients,1
Meyler's Side Effects,1
Coxiella burnetti,3
premiÃ¨re,5
patients nâÃ©taient pas diffÃ©,1
"parainfluenza type I, II",1
charles nicolle,1
bronchite,1
immunovariant viruses,1
virus constituyen,1
Coronavirus (CoVh,1
Coronavirus (hCoV,1
Coronavirus disease (COVID-19):,1
Coronavirus auf PT-Zellen durchgefÃ¼hrt,1
Sanierung von MRSA-TrÃ¤gern,1
S. Knobler A.,1
S. Lemon A. Mack L. Sivitz K. Oberholtzer,1
bovine coronaviruses Storz Johannes,1
dermatotropic,1
Eye,2
virus Ã©mergents,4
Cane,1
Cane Corso dog,1
Coronavirus du groupe 1,1
Coronavirus responsable de lâentÃ©,1
Coronavirus antigen,1
parvovirus FPV,1
virus leucÃ©mogÃ¨ne fÃ©lin,1
Feline vasculitis,1
coronaviral antigen,1
S.B. Fiel N. Mayer-Hamblett,1
S.L. Nordvall G. Pershagen M. Svartengren M.,1
S.K. Cammarata R.V. Croos-Dabrera,1
S. Zielen M.L.,1
Johnston L.,1
A. Smyth P. Hyman-Taylor M. Mulheran S. Lewis D. Stableforth A. Knox,1
Avian influenza â,1
zaire,1
rotaviral isolates,1
electrophoretypes,1
electrophoretype,1
rotavirus isolates,3
rotavirus electrophoretypes,1
E. Kurstak C.,1
ST segment,1
BPI-3,10
BRSV antigen,1
BPI-3 antigen,1
coxsackievirus B3 virus,1
SARS-CoV (M PID=8,1
Coronavirus ABSTRACT,1
Jiangsu Province,1
urine/feces,4
human immunodeficiency virus) protease,1
HHV-7) RÃ©sumÃ© La dÃ©,1
au-delÃ  ,2
human herpesviruses 6,1
simian retrovirus,1
virus dÃ©jÃ  prÃ©sents,1
virus Ã  ,8
virus grippaux restent un modÃ¨le,1
l'autoimmunitÃ©,1
S17.2 Pan-resistant bugs,1
A. baumanii,1
S32.1 H5N1,1
Asia - Tigecycline,1
BacTec blood cultures,1
TM Bioscience ID-Tag,1
Chinese COV-19 patients,1
coronavirus (2019-nCoV),1
high-growth,2
"16,758",1
high-incidence,1
coronavirus disease (COVID-19)â,1
respiratory epithelial cell,1
Stuart G. Siddell H. Fraenkel-Conrad R.R.,1
Viruses 1995,1
humanâs lung,1
Hepatitis E erheblich,1
Hepatitis A-,1
Hepatitis E-incidence,1
coronavirus outbreak A number,2
pangolin lung samples,1
SARS-CoV-like CoVs,1
Malayan pangolins,2
BatCoV RaTG13,6
SARS-CoV-2-like CoVs,1
Akasaki,1
âhelmet bundleâ,1
Manduca sexta Abstract A soluble 106 kDa,1
Manduca sexta,1
M. sexta midgut,1
Decades-old renin,1
Carol Bacchi,1
"virus SARS-CoV,-2",1
Coronavirus SARS-CoV-2,7
Coronavirus disease -2019 (Covid-19,1
bronchiolite aiguÃ«,2
cette Ã©,2
Kawasaki RÃ©sumÃ©,1
Virus Ã©mergents,3
virus entÃ©,1
coronavirus issu dâArabie,1
nCoV au MERS-CoV,1
US EPA,1
Feline infectious peritonitis-like coronavirus,1
Coronaviruses Abstract Viruses,1
Grace,1
coronavirus (severe acute respiratory,1
coronavirus 2 [SARS-CoV-2],3
canaries,1
aviary,1
human RNA-dependent protein kinase,1
herpesvirus (HSV,2
shipping-stressed calves ABSTRACT Crossbred calves,1
bermudagrass,1
bovine respiratory,4
shipping-stressed cattle,1
hyperimmune egg,2
ABSTRACT,2
IBR,10
IBR (99,1
BVD Type 2,1
IBR (,1
BVD Type 1,1
crossbred (Simmental Ã Angus) beef cows,1
spring-born calves,1
cow BW,1
HM patients,5
TIVAPs,1
enterovirus hijacks cellular,1
Helicobacter pylori colonizes human stomach mucosa,1
Kahn,1
Kim A.,1
Equine Medicine Volume 7,1
Coronaviridae como causante,1
Sociedades CientÃ­ficas,1
batas,2
lavado,1
John Langdon,1
IgG. Se,1
SD son,1
hMPV infections (AHR,1
beta-herpesvirus,1
Influenza Virus Subtypes Using SAT nan,1
coronavirus â,2
metapneumovirus y virus,1
adoptar precauciones especÃ­ficas complementarias,1
serologÃ­a secundariamente,1
hemocultivos sistemÃ¡ticos,1
aplicarse simultÃ¡neamente,1
basa,1
virus pandemico A,1
adenovirus antigen,6
cold-adapted influenza virus vaccines,1
MROs,2
Sotobo Childrenâs,1
magnetic micro-particles,1
Tung Chung,1
Setcreasea purpurea,2
Setcreasea purpurea lectin,1
HIV-2 (ROD,1
Weise labs,1
Coronavirus - 2,1
coronavirus disease (COVID-19): A,2
leucocytes/red blood cells,1
HIV/hepatitis,1
Enterovirus cardiovascular infection,1
Herpes simplex (HSV),1
newcastle,1
hepatitis C virus protease,1
Human herpesvirus-6,1
HCMV RL11-family,1
JC,2
varicella zoster virus glycoproteins,1
respifinder,1
parvovirus B19 DNA,1
pap,1
PIV-1 Respifinderplus,1
WU/KI polyomaviruses,1
HBOV,1
Human parainfluenza virus type 4,1
"HPIV-1, 151 (",1
HPIV-1 and,1
"HPIV-1,",2
HPIV-4 (44,1
HPIV-1 (,1
HPIV-2 (63.6%,1
Coronavirus Respiratory Tract Infections,1
Human Coronaviruses Coronavirus (CoV) disease 2019 (,1
coronavirus (SARS-CoV)-2,2
Carol Yu,1
Mei Yin,1
SD 3Â·5,1
37Â·5â38Â·5Â°C,1
myxozoan,1
actinospore,1
Wuhan virus,1
vietnam â,1
Ilam,1
SARS-COV-2 virus,2
rabbit patients,1
female ferret,1
human body fights pathogens,1
coronavirus infections COVID-19,1
Baccharis crispa,1
saponaria,2
Actinidia polygama Miq,2
adenovirus 40â41 como causantes,1
los virus entÃ©ricos,1
adenovirus 40-41,6
Campylobacter y,1
Adenovirus 40-41,1
D. Same,2
patients immunodÃ©primÃ©,1
para-influenza virus,3
humans (3,1
basa fundamentalmente,1
Sus signos habituales son,1
unâEMAD multifasica,1
unâautentica sclerosi,1
bronquitis crÃ³nica,2
hepatitis B y C,1
genomas,1
patient Ã  ,1
haploidentical HCT,1
sugarcane juice,1
lemon juice,1
S. marcescens,6
coronavirus 229E/NL63/OC43,1
parainfluenza virus 1/2/3,1
respiratory syncytial virus A/B.,1
Chinese COVID-19 patients,1
cryptosporidial oocysts,2
viral-like particles,2
C. sinensis fungi,1
rat feces,1
Sambucus nigra,1
Elderberry,1
coronavirus fÃ©,1
FeCV,6
FIPV suggÃ¨re,1
coronavirus non pathogÃ¨nes,1
coronavirus FeCVs,1
Virus respiratoire syncytial et virus para-influenza,1
bronchiolites,4
zoonoses frÃ©quentes ou faisant lâobjet,1
patients Covid-19+,1
Everett Rogers,1
virus Epstein-Barr,1
individually-housed Holstein Friesian calves,1
CoV 2,1
rat lung fibroblasts,1
MERS-CoV S1-specific antibodies,1
female gander,1
Swine Flu):,1
aerosol-borne,1
patient immunodÃ©primÃ©,1
VMRI,1
necrotoxigenic E. coli,2
human pathobacteriology,1
mongrel dogs,4
NH36-specific CD4,1
Equine vaccine,1
Dengue-2 Virus,1
influenza virus A H1N1,1
influenza virus H1N1 2009,1
Influenzavirus wie H (,1
Ãbertragung typisch fÃ¼r Influenzavirus,1
Influenzavirus B geleistet,1
Virus Influenza virus,1
A-H3N2,1
Muskelzellen aufgenommen,1
Virus lagert sich,1
immer tÃ¶dlich,1
NoV GI strains,1
norovirus strains,1
patients valvular,1
Chinese medicine prescription-Haoqinqingdan decoction,1
virus purification/removal,1
anti-GST-GAM56 IgY antibody,1
influenza virus (IV)-induced F-actin,1
XDY,1
non-cytopathic bovine,2
Bovine herpesvirus (BHV)-1,1
FPV arm,1
patients Ã  ,5
feline patients,2
Birman cat,1
cat (,2
cat (2,1
Cornish Rex (1,1
virus influenzae et,2
parainfluenzae virus,3
patients Ã©veillÃ©,2
coronavirus HCoV-229E,1
human nasal,5
Duck enteritis virus,2
DEV UL21,6
DEV CHv,1
herpesviruses Mardivirus,1
Rhizoma,1
Chinese herbal Huo-Gu,1
Coronavirus disease 2019 (COVID-19),6
Chinese herbal HGF,1
canine species,1
cat presented 1,1
S. grandiflora,2
S. grandiflora flowers,1
methanolic flower extracts,1
herpes simplex-1,1
feline corona,1
feline herpes,1
sindbis,3
Crandell Reus,1
herpes simplex 1,2
reo,1
rat paw,1
H1N1/09 virus,1
Andrographis paniculata,1
Cibotium barometz,2
Cassia tora,4
Gentianae Radix,2
Dioscorea batatas,2
Cassiae Semen,2
Rhizoma Cibotii,2
Cibotium barometz),2
Bryonia laciniosa,1
Putranjiva roxburghii,1
H9N1,1
syncytial virus AB,3
codetecÃ§Ãµes virais,1
respiratory syncytial virusâA,1
aspirado nasofarÃ­ngeo,5
female feral cats,1
raptors,1
E. coli serogroups,2
Salmonella serotypes,2
influenza virus B type,2
Hamer,1
mosquito midgut cells,1
midge midguts,1
HIV gp120:CD4,1
patients Â«,2
avian influenza (H7N9),3
coronavirus Diseases 2019 (COVID-19),1
H. influenza,1
coronavirus disease (COVID-19) â,1
coronavirus disease COVID-19,9
US health-care,3
health-care labour,3
premiÃ¨re pourrait Ãªtre,1
Legionella pneumophila serogroup O1,2
Influenza A&B,6
Influenza A&B kit,2
SD Bioline Influenza Virus Antigen Test,2
hepatitis C. A,1
anti-VZV nâa,1
Human herpes virus,1
human cathelicidin antimicrobial peptides,1
human cathelicidin antimicrobial peptide,1
Coronavirus spectrum infections (,1
newborns,4
Geobacillus stearothermophilus ATCC 7953,1
coronavirus spillover,3
H. capsulatum,3
human embryonic kidney 293 T cells,1
MERS-CoV RBD-,1
Sendai Framework,4
syncytial virus (RSV)-associated acute lower respiratory tract infections,1
transgenic antigen-expressing cells,1
afferent/efferent neurons,1
summer-born calves,3
crossbred beef cows,1
Holstein bull calves (1 d,1
28-week-old New-Zealand,1
chicken peripheral blood-derived monocyte,1
rhesus macaques AbstractAs,1
hepatitis E virus-like particles,1
hepatitis E patient,1
Yeasts AbstractIn,1
yeast viruses,1
MD simulations,2
Zika NS2B,2
NS2B-NS3pro,1
lovage,1
HCV genome AbstractGenotype 1,1
Bornavirus,2
Moldova patients,1
Mycoplasma faucium,1
Mycoplasma salivarium,1
ABSTRACTRespiratory tract,1
Influenza viruses A,1
Parainfluenza viruses 1-3,1
Adenovirus (ADV,1
TGEV-like viruses,1
human epithelial lung cells,2
mice lungs,1
prophage,1
mouse skeletal muscle,1
LLC-Kat lung cancer mice,1
Mad-1,1
C.elegans,1
bilateria,1
virus-specific nuclease,1
Viruses Near,1
avian influenza A (H4N6) virus,1
MERS-CoV NSP16,1
MERS NSP16,1
MERS dNSP16,3
swine delta coronavirus,1
children AbstractPersistent,1
coronavirus AbstractIn,1
settlements,2
Nile Virus SummaryEfforts,1
filarial,1
STH species,1
STH,1
human skin surface,2
MERS-CoV FP,3
MERS-CoV WT,1
MERS-CoV FP fusion-relevant membrane,1
SARS-CoV FP,3
re-emergent pathogens,1
hemoplasma,1
Hemoplasmas,1
nsP2 AbstractA,1
non-structural polyprotein nsP1-4,1
CHIKV replicon,1
CHIKV nsP3 macrodomain,1
nsP3 macrodomain,1
Drosophila oogenesis AbstractDuring Drosophila,1
Drosophila ovaries,1
panda pMHC-I,2
panda CTL,1
panda T cell,1
Coronavirus AbstractAs,1
Bats-Hosts-Reservoir network,2
Virus Host,1
Bat SARS-like Coronaviruses,1
mink viruses,1
coronaviruses (229E,1
coronavirus (nCoV-2019,3
lineage B Î²-coronaviruses,1
SARS- CoV,1
Chinese 2019-nCov,1
Wuhan 2019-nCoV ABSTRACTOn,1
Human GREM1,1
Bat SARS-like Coronavirus,3
DENV4 human,2
mosquito-specific,1
Mpro structures,1
mice AbstractMicroglia,1
"26,701",1
SARS-CoV-2 coronavirus,3
Human Coronavirus 2019-nCoV,1
SARS-like bat-SL-CoVZC45/2017,1
Avian Influenza Database (,1
human UCH-L3,1
C-terminal Ub,1
Viral Polymerases SummaryCoronaviruses,1
coronavirus (2019 novel,1
1ab polyprotein QHO60603.1,1
coronavirus endopeptidase C30,1
human immunoglobulin IgG1,1
human receptor ACE2,5
SARS-CoV S-RBD-ACE2,1
Coronavirus (2019-nCov,4
coronavirus (BCoV),3
coronavirus infections (COVID-19) A total,1
Human Coronavirus Human Coronaviruses,1
HCoV-host subnetwork,1
human small intestine,1
SARS-CoV-derived B cell,2
HIV-1 AbstractAs,1
Ji et al. (https://doi.org/10.1002/jmv.25682,1
human COVID-19,1
Chinese province COVID-19,1
Coronavirus strains,1
Coronavirus disease (COVID-19,13
"Coronavirus,",1
Coronavirus Study,4
Coronavirus Study Group (,2
Mice AbstractSevere,1
hACE2 mice,2
Wuhan coronavirus 2019-nCoV,1
Human Kidneys,1
coronavirus named 2019 coronavirus,1
Coronavirus Infected Patients,1
throat swabs collected â¥ 8 d.a.o,1
coronavirus (2019ânCoV,1
betacoronavirus (2019-nCov,1
virus-specific IgG,4
coronavirus (3/104),1
influenza A H3N2,4
coronavirus (2/202),1
nCoV):,1
Coronavirus Pneumoniaï¼A,1
Corona Virus Disease (COVID-19,2
Wuhan COVID-19,2
2868.7 Â± 1739.0,1
day90,1
betacoronaviruses AbstractCoronavirus disease 2019,1
coronavirus (MERSr-CoV,1
human SARSr-CoVs,1
Corona Virus,2
SARS-CoV Spike-RBD,1
42(14,1
adeno-associated virus)-mediated,1
coronavirus isolated from Malayan pangolins,1
adenovirus vaccine A recombinant adenovirus vaccine,1
coronavirus (2019-nCoV) AbstractSince,1
coronavirus spike,1
coronavirus disease 2019 patients,1
human MHC-I,1
human T-cells,2
human antigen,1
SARS-CoV antibodies,3
SARS-CoV S murine polyclonal sera,1
human ACE2 AbstractAngiotensin-converting enzyme 2,1
Coronavirus 2019 (Covid-19,1
coronavirus 2 disease (,1
coronavirus 2ï¼SARS-CoV-2ï¼-infected disease (Coronavirus Disease 2019ï¼COVID-19,1
men.43ï¼84.3%ï¼patients,1
human interferon a-1b,1
coronavirus disease (COVID-19):,1
Coronavirus disease 2019 (COVID-19,7
HKU1 CoVs,1
Lassa virus glycoprotein complex,1
Shanghai (,2
coronavirus (SARS-Cov-2),4
coronavirus diseases 2019,2
E. coli hosts,1
canine morbillivirus,2
leopard cats,1
SARS-CoV-2 AbstractCoronavirus,2
SARS-CoV-2 pseudovirus,1
coronavirus (SARS-CoV-2)-infected,3
PCR-test,1
Coronavirus (SARS-CoV-2) Disease (COVID-19,1
porcine coronavirus SADS-CoV,1
bat Î±-coronavirus HKU2,1
HKU2 /SADS-CoV,1
COVID-2019 patients,2
children ABSTRACTGenetic,1
Xian,1
CTL Peptide,1
EBOV nucleocapsid protein (,1
Ebola Zaire,1
Coronavirus Disease 2019 (Covid-19,1
coronavirus disease 2019 (Covid-19,4
Chinese COVID-19,1
human coronavirus HCoV-19,1
Coronavirus (SARS-Cov-2),1
human virus receptor proteins,1
human cell membrane,2
human coronavirus SARS-CoV-2,2
beta-coronavirus lineage B,1
Saccharomyces cerevisiae ATP,1
non-human host,1
Escherichia coli K-12,3
influenza virus A (60.00,1
legionella pneumophila,1
coronavirus strain HSR1,1
Guizhou province -- Case Study 1,1
Coronavirus disease-2019,3
patients â¤19,1
coronaviral infections ABSTRACTHuman coronavirus HKU1,1
coronaviral spike (S),1
non-residents,2
Nsp15 endoribonuclease NendoU,1
US COVID-19 patient,2
Coronavirus AbstractThe 2019-nCoV,1
Coronavirus subgenus,1
Singapore and,1
throat-swab specimens,1
coronavirus disease 2019 (Covid-19),3
coronavirus pneumonia COVID-19,1
betacoronavirus SARS-CoV-2,2
human betacoronaviruses HCoV-OC43,1
Human Kidney,1
coronavirus (SARS-CoV-2,4
human kidney tubules,1
coronaviruses AbstractCoronavirus Disease 2019 (,1
SARS-CoV),1
human host receptor,2
Q493,1
Coronavirus host range,1
coronavirus (SARS-CoV-2) AbstractSince,1
EBSP,2
CoV Ig,1
SD 2.8,1
SARS-CoV-2 genome,2
Anhui Province,2
coronavirus 2 (SARS-CoV-2)1,1
SERI,2
coronavirus (SARA-CoV-2),1
coronavirus nucleocapsid protein N-terminal,1
SARS-CoV cross-react,1
human basal ganglia,1
Jingmen,2
Coronavirus Pneumonia 2019 (,1
magpie lark,1
currawongs,1
ravens,1
rainbow lorikeets,1
Corvidae,1
Human Transmitted Coronaviruses,1
Fangcang patient,1
Fangcang MSA,1
human coronavirus.2,1
children 3-12,1
Viruses AbstractTilorone,1
coronavirus-mediated acute respiratory,1
SARS- CoV-2,2
ZJ01,1
HKU-1,1
Coronavirus surface glycoprotein AbstractIt,1
multi-epitope vaccine,2
COVID-19 coronavirus,2
coronavirus SARS-CoV-2 AbstractEmerging,1
NSP15 AbstractSteroid,1
SARS-CoV-2 Coronavirus,1
human forehead,1
pigs AbstractIn,1
zebra fishes,1
SARS-CoV Polymerase SummarySARS-CoV-2,1
SARS-CoV-2 patients,1
rhesus macaques AbstractAn,1
SARS-CoV Spike Protein Receptor,1
SARS-CoV RDB-specific,1
Coronaviruses AbstractRecently,1
CoV SARS-like,1
respiratory cell,1
sore,1
coronavirus (SARS-CoV-2) disease (Covid-19,1
Shenzhen,2
Euglena AbstractWe,1
Euglena gracilis,1
pangolin SARS-like CoV,1
bat SARS-like CoV,2
SARS-CoV-2 clade,1
human ACE-2 receptor,1
betacoronavirus S glycoproteins,1
SARS-CoV-2 Spike,1
coronavirus infectious disease (COVID-19),1
coronavirus RNA nasopharyngeal swabs,1
coronavirus (SARS-nCoV-2,1
coronavirus (SARS-CoV-2/ 2019-nCoV,1
returnees,1
Human Liver Organoids,1
human liver ductal organoids,2
pangolin CoVs,1
convalescent COVID-19 patient sera,1
coronavirus 2 SUMMARYThe,1
rN1,1
coronavirus-specific IgM,1
human plasma/serum,1
coronavirus SARS-Cov-2 antibody,1
Holstein Ã Gyr crossbred dairy heifers,1
cocirculating viruses,2
cocirculating respiratory viruses,1
healthcare-acquired COVID19,1
US Surgeon,1
nucleocapsid-specific antibodies,1
Corona Virus 229E,1
coronavirus covid-19,1
human genomes AbstractOver,1
coronavirus infectious disease -19,1
reed,1
coronavirus (n=2),1
bat coronavirus AbstractCoronaviruses,1
HIV virus A,1
non-structural protein(s,1
Norwegians,1
coronavirus (COVID-19) patients,1
IgG/ IgM,2
coronavirus COVID19,1
human respiratory epithelium SARS-CoV-2,1
SARS-CoV cell receptor hACE2,1
Asia COVID-19,1
meplazumab-treated patients,1
Italians,3
human leukocyte antigen [HLA] A,1
TROP2high progenitors- ACE2,1
human fetal liver,1
SARS-CoV (2003),1
Jingmen tick virus,2
Amblyomma testudinarium ticks,1
-coronavirus RO,1
CoV ROs,1
CoV RO,1
feline bocaviruses,1
human topoisomerase,1
Coronavirus Antigen,1
924,1
B/Victoria (0.86),1
influenza B lineages,5
countries BCG,1
East Coasts,2
Coronavirus disease -19,1
human antigens,1
MERS-CoV (4),1
Coronaviruses disease 2019 (,1
haemagglutinin-esterase,2
HKU1 HE,1
human embecoviruses,1
Betacoronaviruses,1
coronavirus (SARS-CoV-1,1
countries 2,1
throat swabs specimens,1
IgM/IgG,1
Pharyngeal Swab Specimen,1
John Hopkins,3
mathematicians,1
Corona Virus Disease 2019 patients,1
coronavirus SARS-CoV2,1
Serums,1
Decimates Human Spleens,1
human spleens,1
SARS-CoV-2 viruses,1
feces specimens,1
SIR,3
Jin Yin-Tan,1
parapoxvirus,5
lectin-like HD5,1
coronaviruses - SARS-CoV-2,1
human inter-species,1
transgenic intestinal organoids,1
RNAemia,2
H7N9 avian influenza (2013),1
H7N9 avian influenza (12,1
H7N9 avian influenza (46,1
Coronavirus Covid-19,1
Viral culture,1
north-temperate zone,1
CoV-2 virus,1
Coronavirus (nCOV-2019),1
SARS-CoV-2 sarbecovirus lineage,1
coronavirus SARS-CoV-2/hCoV-19,1
convalescent COVID-19 patients,2
COVID-19 convalescent patients,1
coronavirus spike protein receptor binding domains,1
Singapore COVID-19 strain,1
Within-host SARS-CoV-2,1
Chinese NHC,1
Wuhan Covid-19,1
S2 regions,1
SARS-CoV-2 pandemic-A,1
oral-nasopharyngeal swabs,1
SARS-CoV-2-negative nasopharyngeal swabs,1
bacillus Calmette-GuÃ©rin,1
Gyeongsangbuk-do,1
human olfactory neuroepithelium,1
human neuroepithelium,1
S2 boundary,1
AT2 lung carcinoma cell line A549,1
Coronavirus (SARS-COV-2) AbstractA,1
Coronavirus (SARS-COV-2),2
human airway epithelia AbstractIn,1
mice AbstractGuided,1
Coronavirus Disease (nCOVID-19,1
human hearts,3
SARS-CoV-2 blood,1
6/11,3
human cadavers,1
aerosol-,3
CoV-2 pseudovirus,1
canine coronavirus-infected dogs,1
canine blood immunoglobulin +,1
Human cell line,1
6xHis Tag,1
Geo-locations AbstractSevere,1
human renal epithelial cells,1
Bacille Calmette Guerin,1
crude COVID-19,1
human pulmonary endothelial cell cultures,1
coronavirus (SARS-CoV2,2
US COVID-19,1
pre-outbreak,2
coronavirus (2019-nCOV,1
mid-turbinate swabs,2
mid-turbinate samples,1
1/100,1
antigen-specific,1
antigen-specific cutaneous,1
mouse lung Angiotensin-converting enzyme 2,1
human hepatoblastoma HepG2 cell line,1
nsp1-16,1
N-NTD,1
human interferons Î±,1
human Type I IFN,1
Coronavirus Census,1
Coronavirus hemagglutinin-esterase,1
hemagglutinin-esterase HE,1
BCoV HE lectin,1
human heart Cardiovascular disease,1
human heart cellular,1
human cardiac cell,1
Coronavirus pathogen Covid-19,1
Coronavirus disease 19,1
Weitz J. S.,1
Dushoff J.,1
U.S. COVID-19,1
HIV protease inhibitor darunavir,1
Coronavirus; 2019-nCoV,1
Coronavirus 19,2
SARS-Co2 virus,1
SARS-CoV-2 Mpro,1
virus infection/replications,1
human pulmonary epithelial cell line,1
bat-originated coronaviruses,1
health-service,1
bots,1
human coronaviruses SARS-CoV-2,1
Higgins I2,1
coronavirus 2019-nCoV/SARS-CoV-2,1
human brain SARS-CoV-2,1
Human Brain Atlas,1
Coronavirus viral disease-2019,1
coronavirus IgM,1
floxed CCL2.ResultsInoculation,1
human acid Î±-glucosidase AbstractPompe,1
human acid Î±-glucosidase,1
human exocyst,1
influenza viruses AbstractPrecise,1
Victoria-like lineages,1
avian influenza A viruses H5Nx,1
Viral Protein Corona,1
HCMV glycoprotein B subunit vaccine,1
gB/MF59,1
virus Spike (S),1
germ-free mice,1
HIV AbstractObjectiveHIV,1
HIV severity/medical,1
HIV-group F (1,1
Bovine Herpes Virus 1,1
BoHV1,2
Bovine Parainfluenza Virus 3,1
bovine nucleic acid,1
ROD,3
yeast Chd1,1
human eye,2
field-caught Aedes,1
Children ABSTRACTRATIONALEDespite,1
SARS-CoV spike AbstractSevere,1
mouse olfactory cortex AbstractOdor,1
mouse piriform cortex,1
human Rod-Zw10-Zwilch,1
honey bees ABSTRACTOne,1
Aplysia californica,1
aplysia californica nido-like virus,1
coronavirus vaccines AbstractWith,1
SARS-CoV mouse,1
CoV 2âO MTase,1
BVD vaccine,1
Kluyveromyces lactis,1
human astrovirus nonstructural protein nsP1a/4 ABSTRACTHuman astrovirus nonstructural protein nsP1a/4,1
nsP1a,2
human astrovirus nsP1a polyprotein,1
human herpesviruses 1,1
co-detections among,1
respiratory virus co-detections,1
Passiflora leaf extracts,1
S. rosetta cell,1
choanoflagellate cells,1
S. rosetta,4
S. rosetta single cells,1
choanoflagellate cell,1
human type 6B pneumococcal,1
IBV attachment-internalization-trafficking-fusion,1
"avian coronavirus isolated in 1937,",1
R18-labeled IBV,1
IL-10-producing T cell lineages ABSTRACTType 1,1
KTR,1
Potato Dextrose,1
microparasites,2
phi6 clones,1
bicornis L.,1
bee larvae,1
Hybrid Mouse,1
Human Profilin,1
human profilin,1
human parainfluenza virus 1-4,2
mammal-virus,2
virus AbstractWe,1
mouse cell cultures,1
respiratory syntial virus,1
SFTS virus isolates,1
Virus Coronavirus Envelope Protein,1
Virus AbstractCoronaviruses,1
CoV envelope,2
IBV WT,1
Influenza Virus AbstractQuantification,1
influenza A virus endoribonuclease PA-X,2
HIV capsid lattice,1
HIV CA tri-hexamer,1
HIV capsid,2
HIV CA proteins,1
capsid-targeting,1
Swine Fever Viruses AbstractRecent,1
Influenza Season 2016/17,1
EBOV GP/rVSV-GFP,1
bovine coronavirus hemaggutinin-esterase,1
influenza C hemagglutinin esterase,1
bovine coronavirus lectin,1
influenza C hemagglutinin,1
human cells SummaryProgrammed ribosomal,1
HIV gag-pol,4
human DUX4-fl,1
bi-transgenic mouse,1
Swine Fever Virus first,1
Dermacentor nuttalli,1
D. silvarum,1
Swine Fever Virus (ASFV,1
ruminant,2
RNA sample-pre-treatment,1
PhHV-1,1
NCBI RefSeq,1
FI6,1
H17 envelope glycoprotein,1
"Coronavirus (2/113,",1
Bas-Congo virus,1
human haematopoietic cancer cell lines,1
canine kidney MDCK II,1
porcine enterovirus G virus,2
porcine torovirus papain-like cysteine,2
porcine EV-Gs,2
EASY-HIT,1
shorebird communities AbstractModels,1
Zika virus NS3 helicase,1
ZIKV NS3 helicase,1
grubii,2
RNA viruses AbstractViruses,1
Mopeia virus ExoN,1
Arenavirus ExoN,3
cellula,1
SARS-CoV NSP12 polymerase,2
rhesus macaques AbstractSocial,1
TgCRND8 Mouse,1
TgCRND8 mouse,1
TgCRND8,1
TgCRND8 mice,2
nTg mice,1
Caenorhabditis elegans ABSTRACTBleomycin,1
C. m. subsp,2
rabies lyssavirus,2
rotavirus A),1
Human RNA Viruses AbstractNovel,1
Polygala myrtifolia,1
anin vitroassay,2
influenza A virus SUMMARYAll viruses,1
Swine Fever Viruses based,1
swine PPI network,1
