CELLULAR_COMPONENT,frequency
mitochondrial parkin,1
235-bp DNA,2
235-bp,1
Bacteriophage Sf6,1
DNA gyrases,1
aureus biofilms,1
bacterial membranes,3
Neurite Orientation-Dispersion,1
neurite,1
nanotube-induced,1
cell-surface,1
single-strand,2
SSBs,1
Xylella fastidiosa,3
nuclear lncRNA-AVAN,1
intracellular endosomal compartments,1
Anti-microbial,1
organelle membranes,1
endoplasmic reticulum compartments,1
elastic membranes,1
membrane organelles,1
X. fastidiosa,3
extracellular adenosine triphosphate,1
zippered endoplasmic reticulum,1
membrane spherules AbstractPorcine deltacoronavirus,1
plasmodesmal,1
multivesicular body/prevacuolar compartment,1
synaptic vesicle-like,1
synaptic vesicle secretory,1
iron,3
DNA breaks-mediated,1
R-loops,1
ribosomal slip-site,1
erythrocytes,1
STR,1
mucous membrane barrier,4
mushroom extract,1
S3/S4,2
Hyaline membrane,2
focal desquamation,1
membrane-bounded tubules,1
nucleoid,1
endoplasmic reticulum Ribophorins,1
fasciculate,1
Extracellular matrix,1
endoplasmic reticulum membrane glycoprotein Rotavirus,1
endoplasmic reticulum Ii,1
post-Golgi vesicles,2
smooth membrane,1
Golgi- network,1
yeast vacuole,3
DPAP B,12
vacuolar membrane,5
non-vacuolar compartments,1
acidic intracellular compartment,1
membrane-free,1
H+-motive,1
basolateral glycoproteins,1
cortical cytoskeleton,1
submembrane cytoskeleton,1
O4,1
carboxy- terminal,1
DCVs,2
NH2-terminus,1
trans-Golgi cisternae,4
pre-S2,1
extracellular enveloped virus (EEV),2
membrane cisterna,2
yeast Golgi,5
DPAP A.,2
ER/plasma membrane,1
Kuismanen,1
actin-based cytoskeletal matrix,1
pleomorphic membrane,1
pre-cis-Golgi vesicles,1
vesicular-tubular,4
constitutive-like,1
membrane network,1
microsome,1
medial Golgi cisternae,2
Mnn1p,3
O-linked oligosaccharides,4
Mnn1p cytoplasmic tail,1
extracellular PDGF-related,1
ER-staining,1
yeast,1
Och1p,2
Kex2p,3
Kex2p-containing TGN,1
medial-,2
COPII-containing,1
epithelial mucin MUC1,1
cis-Golgi Network,1
cis-Golgi network,1
PDMP-induced,1
HA1-S-S-HA2,1
outer leaflet lipid,1
spring-loaded,1
extracellular virus-,1
Golgi Membrane,1
late-Golgi membranes,1
yeast TGN,3
residueâbased TGN,1
yeast endosomal,1
endosome-to-vacuole,1
synaptic vesicle,1
Secretory Granules,1
clathrin-coated vesicle,2
secretory granule,9
AP-1/clathrin-coated vesicles,1
unfolded membrane,1
Peroxisome Membrane,1
Peroxisomes,1
peroxisomal matrix,1
peroxisomal membrane,1
peroxisome membrane,2
chromosome 16,2
neonatal microglia,1
medial-Golgi,5
vesicle coat complexes,1
plasmalemmal,2
basolateral membranes,3
dense-core,1
PtK1 cytosol,1
TGN vesicles,1
centromeres,8
cofractionating proteoglycans,1
nonlysosomal pre-Golgi,1
post-ER,3
yeast integral membrane dipeptidyl aminopeptidases,1
DPAP A,2
non-vacuolar,1
punctate structures,1
secretory vesicle-blocked,1
Franzusoff,1
carboxy-,1
gp210,6
pore membrane,4
L. Gerace,1
microsomes,1
surface TfR,1
mitochondrial segments,1
UPGMA tree,1
danshen capsules,1
DRV,1
licorice extract,1
Salmonella enterica serotype Typhi,1
Veno-Arterial,1
extracellular matrix metalloproteases,2
TERT-CLPTM1L,4
garlic extract,6
membrane-fused,2
leader-body junctions,2
cytoplasm multilamellar bodies,1
ER-specific,1
Endoplasmic Reticulum-Derived Double-Membrane Vesicles,1
cryoimmunoelectron,1
EAV-specific,2
Epithelial Anion,1
cellular tubulovesicular,1
ERGIC-derived tubulovesicular structures,1
cholesterol-sensitive,1
Atg7-rich vacuoles,1
stop-start,1
Subcellular membrane,1
PBSX,2
membrane glycoprotein E1,3
61-nt,1
K. L.,1
RNA 4:1569â1584,1
torovirus-specific antiserum,1
virus membrane glycoprotein M,1
envelope vesicles,1
microvillar membrane,1
5-nt,2
tubulo-vesicular,1
60-nm-diameter vesicles,1
H-1,4
cis/medial Golgi,1
endocytotic vesicles,2
late Golgi,1
antireceptor antibodies,1
Viral antibodyâfree BBDR,1
amoeba antibodies,1
Shiga toxin,3
interferon Î³,1
trophozoites,1
macrogametes,1
May-GrÃ¼nwald-Giemsa,1
cell material,1
ependymal surface,1
libitum,1
stem-anchor,1
membrane alanyl aminopeptidase,1
11-nt single-stranded,1
closterovirus,1
mitogen-induced,2
sgp,1
SL5,1
3'NTR,5
cartilage matrix,3
G230,2
genomic-sense,1
nine-nucleotide,5
immune electronmicroscopy,1
DNA-dependent,1
centromeric heterochromatin,1
spikeless VLPs,1
virion-derived sigma 3,1
outer membrane protein antigens,1
detergent-extracted,1
thylakoid membranes,1
SIN genome,2
E1,2
AA-treated,2
5' region,4
EB virus,1
FIPV-DF2,7
outer capsid layer,1
p1/p6,1
outer surface protein A,1
bromelain-treated,1
NSP,1
NS-pro trans-cleavage,1
co-translational membrane,2
"Neu5,9Ac2",10
vesicle structures,1
VP-3,8
VP-2/M,1
Corynebacterium,1
Endoplasmic Reticulum Hepatitis C virus,1
P1',2
late endosomal membranes,1
eight-nucleotide,3
L-BC,5
L-BC virions,1
NiV-F,2
L. Comai,1
EMBO,1
DIssF,11
intracellular virus-specific,1
procaryotes,1
negative-strand DI,2
DI-specific,5
DI-19,2
PBMC membrane,1
O-linked glycans,2
spheroplasts,1
yeast L-A,1
DIssA,12
barley yellow,5
sgRNA2,3
sgRNA3,4
electron-dense granules,1
granule membranes,1
intracellular PRRs,1
heteroduplex,1
Lymphocytes,2
virion-cell membrane,1
Pullorum,1
Eimeria species,4
nerve synapses,1
spikeless virions,1
spikeless,1
erythrocyte surface,1
BMV-infected,1
BMV (-)-strand,1
focal astrogliosis,1
filamentous lollipop-shaped,1
alpha-helices,1
focal necrosis,3
nuclear anticomplement,1
secretory exosomes,2
multivesicular compartments,4
endosomal multivesicular bodies,1
RDV virions,1
MK nuclei,1
1.5-kb,2
Estrus,1
[35S]cysteine-labeled,1
hepatocyte membranes,3
pAT153,1
yeast DNA,1
RNA1 derivatives,2
21 PE,1
trans-Golgi membrane,1
M. arthritidis,1
M. neurolyticum,1
tubular-cisternal membranes,1
IMV membrane layers,1
IMV membrane,1
3' NCR,1
3' NCR of,1
vp6,1
vp7,3
P2',1
triple-spanning,1
dense-core granules,1
electron-dense material,1
K. Jewell,1
E2 transmembrane,1
mg/kg subcutaneous buprenorphine,1
M. Asanaka,2
K. Yokomori,1
Salmonella enterica serotype Typhimurium,1
lactose-fermenting salmonellae,1
Myelin lamellae,1
K. Motowaka,1
K378,2
Basolateral Surface,1
sham-infected,1
Legionella,1
mycoplasmal antibody,1
five-amino-acid,1
isolated membranes,1
antigenome RNPs,1
PVX coat,1
PVX 3,1
membrane antigens,2
Golgi complex-disrupting,1
micro-Ouchterlony,1
RNA3,1
5' and/or 3,1
IBV virion,1
subcompartmentalized,1
enterocyte apical,1
figwort mosaic virus,1
premedial Golgi compartment,2
cell plasma membrane,3
intracellular polyamines,1
stem1/stem2,1
pX63-HYG,1
5'-proximal,3
Evans blue,2
E2 peplomers,1
microsomal membrane,1
parasitophorous vacuoles,1
fusion-defective double-alanine-substitution,1
nonhomologous crossovers,2
brome mosaic virus (BMV)-based,1
host-cell macromolecular,1
5'-terminal,4
DS-1,1
satBaMV cassette,2
promoter-like,1
Pautrier microaggregations,1
retrotransposon Ty3,1
Cytokine,2
yeast retrotransposon,2
K99 extract,1
acellular Bb vaccine,1
paramyxovirus-like,1
cellular cisterna,1
outermost membrane,1
basal layers,1
PE2,1
28S ribosomal DNA,1
alfalfa mosaic virus RNAs 1,1
alfalfa mosaic virus,1
Poly(A)+,1
E. risticii,1
ehrlichial antigen,5
antigenome nucleocapsids,1
DI-a,2
DI-a genome,2
mLAT,1
1.5-kb LATs,1
Chlamydia lipopolysaccharide,1
poly(A)-containing,1
Droplet nuclei,1
mRNA7,3
153-bp,1
Typhimurium CS3263,2
Typhimurium Ï4550,2
Typhimurium Ï4550/pCS155,1
NC4,1
cis-Golgi compartment,1
envelope aggregates,1
enterobacterial,1
cargo vessels,1
apical (,1
nsp11/12 junctions,1
chlamydial vaccine,1
protoplasts,1
focal mitochondrial,1
5' regions,1
astrocytic endfeet,1
PVX plus-strand,1
MHV-JHM-derived,2
MRP-A59,4
Vesicular Stomatitis Virus G Protein,1
E1 cytoplasmic,4
E1 tail,1
5' capped,1
3' poly(A,3
rDNA locus,1
m.a.p.c.s,1
inoculum-derived oocysts,1
perinuclear membranes,1
r-p22 capsids,1
partial-duplex,1
viral-receptor,1
centrifugal,2
unsegregated,1
BPV genome,1
BPV DNA,1
SDV,1
bunk bed,1
18-nucleotide-long,2
TrpE,1
nonhomologous BMV,1
mucus membranes,1
integral membrane protein(s,1
spike-like protrusions,1
matrix-like,1
nuclear envelop,1
yeast Schizosaccharomyces,1
210-nt 5â²,1
Grape Polyphenolics,1
ts16,1
sucrose-purified,1
clover yellow,3
hexapyrimidine,1
glycoprotein-containing Golgi membranes,1
Golgi-derived,1
endo-H-resistant glycans,1
secretory glycoproteins,1
epithelial cross-bridging,1
Patrinia villosa,2
Evans' Criteria,1
vesicular stomatitis virus G protein (G,1
TMV coat,1
Yeast Nucleus,1
cell barrier,1
yeast nuclear,1
Centromeres,1
NLSs,1
filamentous actin,1
secretory antibodies,1
Tg,1
3'-proximal 3'AGAUUUG5',1
Ia-positive microglia,3
cellular subcompartments,1
microcanaliculi,2
plasmalemma invaginations,1
PEDV nucleic acid,2
gE-gI-mediated cell-to-cell,1
HC-Pro,2
tubulovesicular membranes,1
trans-Golgi reticulum,1
ehrlichial organisms,1
bileaflet membranes,1
Immune Electron,1
seminal plasma,2
genomic-size,1
surface projections,2
IBDV double-stranded,1
mu1C,1
virus outer-capsid,1
3' part,3
49S,1
L. Dalgarno,1
rounded edges,1
Positive-stranded,1
lumenal,1
vesicular stomatitis virus G protein,1
yeast double-stranded,1
E2 TM,1
GAG3-POL3,2
Salmonella tRNA2Gly,1
CD-91,7
immune system-associated,1
hepadnavirus,1
intracellular capsids,1
cytosolic capsids,1
DHBV envelope,1
nucleocapsid-membrane,1
nonenveloped nucleocapsids,1
3' P1,1
retrovirus-like elements,1
Extracellular Virus,1
neuronal surface,1
presynaptic neuronal membranes,1
K. Milhouse,1
plasma macromolecules,2
medial enzymes,1
RER membranes,1
RNA4,3
RNA5,3
5' plus-sense terminal,1
3' part (,1
immunofluorescent-antibody,1
microtubular network,2
somatodendritic,2
extracellular C-terminal,1
E2-p7,2
Trichoderma pseudokoningii,1
consideraciones especiales,2
speckles,4
tramatological,1
timesfrom,1
Prestadores,2
21 Covid-19,1
meningococcus,1
nasal-swab fluids,1
EnfuvirtideâPEG,1
ENFâPEG,1
essential-oil extract,3
cytosolic nucleic acid,1
seminal vesicles,1
charge-rich,1
Sm,1
L. casei Shirota,1
extracellular surface,1
âpictorial,1
neuropile,4
Sorimachi,2
Okayasu,2
chlamydial developmental,1
viral-cellular membrane,1
multi-epitope DNA,2
OMBs,2
GL junctions,1
endosome/plasma membrane,1
chromosome 6p21,1
Salmonella Weltevreden,1
Chemokines,2
enterobacteriace,1
antibacterial flavonoid,1
DNA gyrase,1
non-membrane-bounded organelle,1
Dorsal root ganglia,1
dorsal root,1
membrane vacuoles,1
semipolar NâO bond,1
Dorsal spinous,1
dorsal spinous,2
genospecies,1
PEV,2
SiO2 nanoparticles,1
Î²2,1
Cajal bodies,2
single-layered ringlike structures,1
focal reactive,2
Hyaline membranes,2
Nsp10,1
Golgi apparatus-complex,1
2a-derived NS protein,1
agglutinate red,1
phospholipidic bilayer,1
senescent organelles,1
EMP,3
O113,4
bronchial basement membrane,1
pre-transmembrane,1
drugâDNA,1
yeast probiotic,1
S1-NTD,1
Tritrichomonas foetus (,1
axonoglial,2
Mycoplasma felis-associated,2
IBV spike,1
M. bovis-associated,3
long sÃ©,1
circulating exosomes,1
Circulating exosomes,1
vesicular stomatitis viral,1
red yolks,1
epimedium flavones,1
ER-derived network,1
vesicle pores,2
chromosome 19p13.3,1
Vet,1
iRBCs,1
cell detachments,1
Streptococcus zooepidemicus,1
serotoninergic nuclei,1
virus material,2
2-ONN,1
nanofiber membranes,1
cells Golgi,1
cytopathic vacuoles,2
quasispecies,1
mucoid faecal material,1
Nuclear/nucleolar,1
NLS3,1
nuclear/nucleolar,2
apical sodium-dependent bile acid transporter,1
apical part,1
IBV nucleocapsid,5
Yeast two-hybrid,2
procapsids,1
interferon (IFN)-signaling,1
flagellate,1
PBCA-Tp5-NP,1
nuclear organelles,1
Cajal body,1
neurotransmitter acetylcholine,1
neurons budded,1
endoplasmic reticulumâGolgi,1
smooth-surfaced,1
perikaryal,1
infoldings,1
lysosome-like structures,1
achromosomal,1
Kappaphycus alvarezii,1
membrane whorls,1
PP7,1
bronchial lumen is â¥,1
C-terminal membrane,1
simplicial complexes,1
Virus membrane,1
multinucleated syncytial giant cells,1
Mycoplasms,1
vectores transmisores,1
endothelial bed,1
nucleocapsid-like particles,1
round-shaped particles,1
NÃN matrix K,1
Eimeria bovis,3
CEACAM1-independent,1
NiV-F cytoplasmic tail,2
endosomal-recycling,1
antibacterial silver,3
2.3-kb,1
nucleus herds,1
grapefruit juices,1
bacteriophage T4,1
âencephalitis,1
fiber optic,1
perinuclear cytoplasmic,1
extracellular fluid,2
secretory immunoglobulins,1
stress oxydatif,1
tuberculosis-specific CTL,1
bacterial endotoxin,1
mitochondrial apoptosis-inducing factor,3
M. haemolytica biofilm,1
cardsÂ®,1
HR2s,1
anticomplement,3
Sophora,2
transmembrane Î±-helices,2
focal cardiac,1
red blood cell ghosts,1
CFT (,1
Golgi-complex,1
stem 1-containing,1
nSBs,1
ZP3,1
Bifidobacteria,2
tissues vacuoles,1
Firmicutes,1
cellular nucleolar,1
allantochorion membrane,3
Trypanosome species,1
non-enveloped DNA,1
extracellular cyclophilins,2
apical determinant(s,1
apical budding,1
intramembranous electron-dense,1
aureus,2
hyphomycete fungus Beauveria sulfurescens,1
intron 3,5
intron 16,1
DBD,10
scale-free network,2
nucleoprotein nanoparticles,1
matrix metalloproteinases-2,1
H298A,1
Indiana-type vesicular,1
Hel,4
Interferon alfacon1,1
RDV ver3.0,1
extracellular mycobacteria,1
translocon,1
signalosomes,1
IBV pseudoknot,1
Chiron,1
DIRS,4
burgdorferi,1
host-receptor,1
L. mexicana,1
NSV,1
Budded Autographa californica NPV 64,1
californica nuclear,1
PMCs,1
rubrum egg yolk immunoglobulin,1
TAAATG,1
solvent-exposed,1
NOE cross-peaks,1
Endolysosomal vesicles,1
apical epithelial compartments,1
junctional complexes,1
Transepithelial,1
Venoarterial Extracorporeal,1
chromatine,1
axonal sheath,1
EU 6th,1
E. acervulina,1
Eimeria acervulina,1
antibacterial cellulose fibres,1
lettuce surface,1
STING-signaling,1
gp62,2
gp53,1
Concentrate,1
long linkers,1
colonies',1
7th MENA-ISN,1
focal node,1
virio,2
biomembranes,1
3D membrane,2
IBV vaccines,1
fungal-type hyphae,1
globose terminal,1
blastospores,1
detergent-disrupted,1
membrane-bound organelles,1
SH2-CD,2
punctate,1
Intracellular Cargo Receptor ERGIC-53,1
Poly ICLC,1
virus droplets,1
sonchus yellow,2
mitochondrial membrane lipids,2
nuclear NF-ÎºB p65,1
membrane cholesterol/fatty acid,1
autophagosomal glycogen,1
Saliva Reagent,1
propionibacteria,1
myelinate CNS axons,1
cell membrane-impermeable,1
vacuolated,2
Zou,1
VP7,3
ORF1,2
enteroepithelial,1
periphery layer,1
mycoplasma 61,1
minireplicon derivatives,1
Mts,1
fungi multiply,1
Ba,2
Egg yolk antibodies,1
nsp11,1
hemp extract,2
zona fasciculata,1
Exosomal vaccines,1
ginseng polysaccharides Panax ginseng,1
RBC membrane,1
membrane Na+âK+ ATPase,2
S-303,1
Scutellaria baicalensis roots Abstract Ethnopharmacological,1
basal vascular,1
virus surface glycoprotein hemagglutinin-esterase,1
Z-specific,2
Strand Invasion-Based,1
pneumoniae polysaccharide vaccine,1
E2 glycoproteins,3
M. japonicus,1
VEMS,1
long electropherotype,2
Legionella pneumophilia serotype 1,1
CVB3W,2
fuse five-times,1
extracellular mucin,1
molecule-A,1
mucosubstances,1
cysternae,1
spike-mediated membrane,1
Concentrated,2
Sap,2
membranous cytoplasmic MNV,1
VSVs,1
anti-ssDNA,1
intracellular IFN-Î±,1
Viral enzymes Viral,1
trypanosomatid,2
forma casi,1
membrane source(s,1
Budded baculovirus,1
BVs,1
endocytic vesicles,1
PEG-induced,4
nonendosomal membrane,1
Endomembrane,1
Pollen,1
root hairs,1
subcellular endomembrane,1
M. abscessus,1
ESPS microfibers,1
PCR-electronic,2
Leu-rich,1
endoplasmic reticulum/Golgi,1
Agrobacterium rhizogenes,1
Autophagic,1
endosomal PPPase,2
envelope glycans,1
envelope N-linked,1
E2 glycans,1
D1/D2,1
DMV-limiting membranes,1
CoV-induced DMVs,1
COPII-independent vesicular ER,1
BToV membrane,1
subQ,2
A-IC,2
endoplasmic reticulum Golgi,2
dorsal raphe nucleus,1
microfilament network,1
non-lytic viruses,1
spikeâreceptor,1
PhiCh1 viruses,1
mH5,1
Mhp,5
cell-derived membrane,2
cell-derived membrane vesicles,1
photoreceptor,1
C-CAMs,2
second-neighbor network,2
Endoplasmic reticulum (ER)-resident Î±-glucosidases I,1
DNA sensing/defense,1
erythrocytes surface,1
NOEs,1
extramembrane intermolecular,1
Betulaceae,1
Betula pendula,1
NP fragments,1
208bp,1
DNA extracellular,1
macrophage extracellular,1
virus-like nanoparticles,1
pore-like,1
21 calves,1
Immune electron-microscopy,1
electron-lucent,1
apical plasmalemma,3
microvillous border,1
electron-dense granulofibrillar material,1
apical cytoplasm,1
granulo-fibrillar material,1
envelope pseudotype,1
IBV antibody,5
IBV signal,1
Newsbytes,2
Promastigotes,1
semen,1
lymphocyte membrane,1
Shieh,1
species-nonspecific,1
mycobaterial,1
target-cell membranes,1
ciliary axoneme,1
outer,1
Se registraron datos clÃ­nicos,1
virus inclusions,1
strand,3
astrocytic syncytial,1
Narcissus alkaloids,3
âLocus,1
intrahost virus,1
Saccharomyces cerevisiae,1
membrane bilayer,1
TM,1
Seg-8,1
mitochondrial cryptogenes,1
E-protein-containing vesicles,1
N-terminal acetyl peptide,1
N60,3
mitochondrial nad5,1
membrane antigen,1
Cryptosporidium oocyst wall protein,1
milk-lipid,1
cell enveloped,1
cision Â« Ã©lÃ,1
Sephacryl,1
spike-rich,2
caveolae-mediated,1
intracellular TNFÎ±,1
nonenveloped virus,1
2'-O,1
MIDI-HD,3
culture surface,1
faecal oocyst,2
SBMV-B,1
rice yellow mottle virus,1
Cellular vesicles,1
small-angle,1
focal peribronchovascular,1
central periaqueductal,1
intron 5,1
heparan sulfate proteoglycan,1
re-localized,1
10fg DNA,1
201bp,1
facial nucleus,1
Salmonella vector,1
Mycoplasma dispar,1
Plasma membrane cholesterol,1
polyglucosan bodies,1
Yeast surface,3
cubic membrane,1
mycobacterial DNA,1
non-mitochondrial,1
streptococci,1
Helminthosporium maydis,1
Mycosphaerella arachidicola,2
alveolo-capillary membrane,1
flavonoid,5
ssDNA/dsDNA,1
KmR,1
ODVs,1
Exterior Mobile,1
commensal microflora,1
ethanolic extract,6
Vacuolar,1
long tracts,1
sialic acidâgold nanoparticles,1
epithelial sites,1
punctae,1
V. ter,1
envelope E2 glycoprotein,1
domain-swapping,2
Eimeria spp,2
K183,2
transmembrane subunits,1
cyanobacteria,1
PJ,1
POMxl,1
clotted milk,1
Signifcance,1
RNase-gold,1
enveloped extracellular viruses,1
unenveloped intracellular viruses,2
unenveloped virus,1
long loops,1
Chelating extracellular Ca2+,1
hair-like organelles,1
cellular blood,1
DNA primeâprotein,3
hypodiploid DNA,1
incluyeron niÃ±os,1
rumen digesta of PS being,1
ESCRT-mediated membrane,1
ESCRT-independent,1
albumin-free,1
adherens junctions,4
detergent-resistant membrane microdomains,2
DRMs,2
primer-derived,1
Glycans,1
sites (IRES)-mediated,1
foot vesicles,1
envelope VP-3,1
M/VP-2,2
focal and,1
rod-like polymers,1
DNA hydrogel-empowered,1
plasma membrane surface,1
influenza-bacterial,1
mitochondrial cytochrome c,2
p1a-22/p65-containing membranes,1
endoplasmic reticulumâGolgiâintermediate compartment,1
TGTT,1
4-nt,1
exocytotic,1
IMR-32 membrane,1
Brome mosaic,1
budding compartments,1
N-terminal formyl-methionine,1
eukaryotic low-molecular,1
filaments,1
microsomal membrane vesicles,2
invaginated microdomains,1
secretory IgA.,1
extracellular loopâtransmembrane,1
stamen,2
membrane lateral,1
XXXYYYN,1
s2UUU,1
23S-5S,2
Legionella longbeachae,1
microfiber mats,1
Mycobacterial infections,1
M-MuLV,1
microvillus membrane,1
apical tubular membrane,1
lateral surface,1
long 3â²-UTR,1
yeast Ymx7,1
yeast YBR022W,1
JX17,4
Leptospira antibodies,1
methanolic tetramethylammonium hydroxide,1
13-nt,1
IBV N,1
Extracellular cyclophilins,2
Rheum officinale,1
T-lines,1
EHEC,5
SelectÂ,1
peri-parturient,1
Sophora flavescens nanoparticles,1
NP nanoparticles,2
NP nanoparticles-coated,1
secretory compartments,1
small membrane vesicles,1
ascites-derived exosomes,1
sucrose/D2O,1
60â90-nm vesicles,1
enterovirus D68 sÃ­,1
IBV nucleotide,1
membrane-embedded,1
Pro39,1
cellulolyticus,1
Saposhnikovia root,1
cargo vesicles,1
tetracysteine,1
endoplasmic reticulum (ER)âmembrane,1
Backbone,1
epithelial cell-specific,1
membrane Golgi,1
extracellular VLPs,1
21 PI,1
autonomic ganglia,1
SCVme,2
glial element,1
antigenomic,1
TWAR,1
Extracellular cysteines,1
extracellular cysteines,2
O111,1
S-driven,1
bromelin-treated virus,1
Integral Membrane,1
Enterobacter aerogenes,1
Leptospira DNA,1
EA,1
membrane-bounded compartment,1
L.,1
lysosomal/endosomal,1
LLR-85,1
H3N2-IAV,1
Membrane anchor-protease-VPg-P10âP8,1
remyelinating molecules,1
needle-like nanoscaled,1
preribosomal,1
S1 extracellular,1
long C-terminal,1
same-service,1
destabilizers,2
focal playerâs,1
iPRV,1
M. hyorhinis,2
vertebral bodies,1
brown algae,1
algae antimicrobial,1
fuse membranes,1
chromosomal 9-O-acetylesterase,1
EHEC O157:H7,1
surface antigen-specific cells,1
Ia-positive perivascular cells,2
Ia-positive,1
mmDC-SIGN,1
fish-specific,1
inter-organelle,1
engulfs cytosolic,1
surface NHE3,2
sub-cellular compartments,1
capsule-like material,1
End-on,1
Membrane ProteinsâChannels,1
Ni-NTA,1
focal topographical,1
condensed chromatin,1
PEDV vaccines,1
Nc-5,1
caninum DNA,1
HRV2,1
sgRNA 8,1
ACE2-independent,1
multilamellar stacks,1
Transmembrane Oligomers,1
myelinogenic,1
long single-stranded,1
MHV intergenic,1
flavonoid glycosides,1
long Î±,1
CFPs,1
focal verminous,1
nematode DNA,1
SIRV,1
membrane DRMs,1
VV early/late,1
non-immune intravenous immunoglobulin,1
Yihuang,1
Saposhnikovia divaricata,1
GP5 membrane,1
neuronal endomembranes,1
stress granule-like,1
axon terminals,1
hypothalamic nuclei,1
T-RFLP,1
ferredoxin-like Î²1Î±AÎ²2Î²3Î±BÎ²4,1
Cell-free plasma,1
extracellular Ca2+,1
myocytes,1
IS711,1
corona-like virus architecture,1
fibers,1
adipocyte fatty acid-binding,1
MinElute,1
poBMDCs,1
Fructus armeniaca mume,3
apposed membranes,1
tPA-S-DNA,1
CTLA4-S-DNA,1
site2,3
complexes 2â4,1
Lonicera,2
XILP,2
sorghum XILP,1
inter-cellular,1
diarrheogenic E coli,1
PEDV nsp13,1
short-range airborne,1
Microvascular-epithelial,1
tangent,1
outer cell-wall membranes,1
Coccidia,1
intracellular genome-length RNP,1
nonenveloped viruses,1
DNA SARS-vaccine,1
intron A.,1
sub-viral,1
Jetstar,1
yeast tRNA,1
23k,1
P1 benzyl,1
star network,1
cell target(s,1
virion-containing vesicles,1
outer surface protein C,1
SCV Hel,1
D9 mAb,1
microglia â,1
siderophores,2
ribbon,1
genome-length negative-strand,2
Â«,1
Amaryllidaceae alkaloids,1
Tritrichomonas foetus,2
matrix (M)-specific,1
non-secretory granule,1
Totobobo,1
D21,1
MB molecules,1
autophagosome-like double-membrane vesicles,1
non-enveloped VLPs,1
proenzyme,1
proteolipidic,1
PAM-200 matrix,1
A. griffini,1
nuclear genome,1
GGGAAAC,1
creeping bentgrass,1
Ophiopogon japonicus,1
DC-targeting liposomes,1
Mycobacterial,1
surface His102,1
HAV 3Câ1a,1
basal NO,1
VNAR,1
mycobacterial cultures,1
Globular,1
apical membranous,1
Î²-CD derivatives,1
mitochondrial deshydrogenase,1
ileumâcaecal junctions,1
Salmonella typhi,2
apical cytoplasmic,1
apical caspase,1
PAMG,2
blebs,1
AM2,1
Integral membrane,1
circulating fluorescence-labeled,1
poly(A)+,1
N-protein,1
exosomal vaccines,2
exosome-like vesicles,1
ELVs,2
pial basement membrane,2
glial fibrils,1
Hyperimmune,1
sera-positive,1
lattice network-like,1
Ï3730,1
lncRNA network,1
surface antigens,1
Plus-strand,1
potexviruses,1
envelope exterior,1
Cymbidium mosaic potexvirus,2
Protoplast,1
TGBp1,1
Ejaculate,1
Ac,1
mucous membrane lesions,1
cellular nucleoplasm,1
Egg yolk IgY antibodies,1
Post-Transplant Cyclophosphamide,1
Plasmid pMV158,1
pMV158,1
intranasal vesicular stomatitis virus,1
PVA/PEI matrix,1
neuritic,1
Impeded,1
lysosomal cation,1
mucolipin-1,1
acidic organelles,1
IBV DNA,2
M. L.,1
epithelial membrane,1
cell-entry,1
yeast cytoplasm,1
budded Autographa californica NPV,1
FIV-PPRglial,1
spongiform-like,1
virus-enriched octamers,1
bacteriophage T7 RNA,1
Cointegration,1
single-electron,1
sobemoviruses,1
ER-specific membrane,1
octamers,1
Lomatium dissectum root,1
Polypodium glycyrrhiza,1
time-dependent droplets,1
FIV-specific,1
metallo-aminopeptidases,1
DDX56,1
nuclear/cytoplasmic,1
sIFITM3-transgenic,1
host-vector network,1
cell surface membranes,1
Mpn,6
virus type/density,1
Salmonella enteriditis,1
chromosome A3,1
endosomal antigen,1
non-endosomal,1
Xanthium spinosum L.,2
TARC/CCL17,4
sugarcane,1
surface peplomer,1
goat serum,1
Translocating Ribosomes,1
Intracellular murine hepatitis virus-specific,1
E-Cadherin-positive villous epithelium,1
cloak membrane,1
shell membranes,1
brown pigment,1
flagellae,1
spores,1
lineage GI-7,1
Dipylidium,1
fiber tip,1
Intraviral,1
intraviral,1
Cys41,1
Cys43,1
HLSV,1
Microsomal membranes,1
centromere DNA,1
DNA telomeres,1
natural mycelia,2
petal-shaped peplomers,1
Egg yolk immunoglobulin,1
membrane lamellae,1
lamellae,2
trans-face,1
L. chagasi,2
PEDV capsid,1
Ian,1
Ian5,1
mRNA6,1
K. Okumura,1
membrane permeabilizer,1
membrane glycopoly-peptide,1
outer membrane surface,2
cell CAM105/ecto-ATPase/ppl20/HA4,1
tpi,1
intracellular NAD+,1
salmonella colony-forming,1
Epimedium flavonoids,2
zooepidemicus,1
intramuscular DNA,1
serovares,1
incluyeron,1
Salmonella fue,1
neumonÃ­as adquiridas,1
Nucleocapsids,1
polyhedrin,1
focal segmental/lobar,1
TMV Particles,1
Bupleurum L.,5
Golgi-enriched,1
intracellular Shigella flexneri,2
nuclear vitamin D receptor,2
G1-,1
structures amyloÃ¯des,1
Lewy bodies,3
ssu-rRNA,2
sialate-4-O-acetylesterases,1
CPV-2b DNA,1
bacteria-containing,1
ER-derived cytoplasmic,1
mitochondria-associated membranes,1
commandeer,1
Virus X,4
Piperitone,1
Aqueous extract,1
Tubulins,1
leader-mRNA,1
Lo Siento,1
genotype/subtype,1
corneal surface,1
NDV surface,1
extracellular leukotoxin,1
